category,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年
非耐久財(交通・通信),46800,46025,46191,48315,51196,56261,60130,60231,67979,52123,57305,59512,60521,62969,62791,51358,43510,47712,55012,54558,42425,48431,54534,56101
サービス(交通・通信),263839,260467,272662,273828,276704,282682,270415,273234,270423,266573,262547,258728,263999,266680,266666,274914,270511,272480,279975,288213,253654,254972,258832,266244
教育(財・サービス),122676,113598,112037,114031,115393,108966,109225,109970,109364,109363,100303,98748,97987,97071,90932,90269,92025,89550,94971,91592,80530,92301,87704,79077
非耐久財(教育),3264,2930,2961,2640,2648,2743,2466,2268,2390,2354,2052,2154,1907,1841,1713,1824,1725,1530,1463,1779,1710,1693,1661,1477
サービス(教育),119413,110668,109076,111391,112745,106223,106759,107702,106974,107009,98250,96593,96080,95230,89219,88445,90301,88020,93508,89814,78820,90608,86043,77600
教養娯楽(財・サービス),379219,366583,359759,347128,360390,354994,344220,356662,357457,356440,358923,330874,320598,326187,327417,315478,317549,312533,311882,322638,261711,270697,292750,311340
耐久財(教養娯楽),39655,36932,35566,32329,32907,35424,33387,37171,36448,42411,52044,32138,19187,19252,21700,16556,16985,17907,17139,19887,24456,25815,22457,21575
半耐久財(教養娯楽),49039,46413,45142,41659,43753,43420,40860,42133,42807,40742,38638,38077,37656,37096,35933,38526,39091,39023,37972,38889,38063,40707,39385,40420
非耐久財(教養娯楽),85765,84935,86285,85208,83682,78581,76367,76924,76917,76440,74134,72368,71418,71483,71671,64970,64911,63089,60853,61509,60057,59861,59056,60631
サービス(教養娯楽),204761,198304,192767,187932,200048,197569,193606,200435,201285,196847,194107,188290,192337,198357,198113,195425,196563,192514,195918,202353,139135,144313,171852,188714
諸雑費(財・サービス),215567,214805,224430,222392,232434,236111,229013,242623,246323,239803,241632,241954,241663,249305,254768,244371,246516,248638,245309,252779,245185,249733,260619,256683
耐久財(諸雑費),8441,8104,9676,10940,9438,8919,7050,7258,8352,6824,6765,8782,7185,8835,9328,8874,6918,6272,6684,7643,5146,6380,7138,7082
半耐久財(諸雑費),23910,23519,25034,23054,22827,22695,22491,23686,22916,20973,20255,19265,20133,21284,21624,20407,19882,21293,18396,20109,17782,17093,18131,19237
非耐久財(諸雑費),53212,51522,52339,51882,51346,53069,51160,52407,53051,52705,54427,54979,56133,55688,54513,54452,55614,55031,55702,59267,58897,59156,59488,60444
サービス(諸雑費),130003,131660,137382,136516,148823,151429,148312,159272,162005,159301,160185,158928,158212,163498,169303,160639,164103,166042,164528,165759,163361,167104,175862,169920
調整集計世帯数,999866,999982,1000033,999961,1000098,1000015,1000051,1000000,1000035,1000063,999983,999968,999947,1000001,999947,999972,999990,999962,1000037,999946,1000063,999955,999954,999964
教養娯楽関係費,425085,408404,402498,389892,403737,398464,382118,395925,395214,391667,392546,364906,354234,362164,361004,350205,348890,345733,344923,359216,274241,284863,317656,340968
耐久財(教養娯楽関係費),42919,39383,38582,35971,35115,37308,35175,39011,38083,44516,53020,33108,20499,20823,22588,17656,18073,18957,17904,20771,24865,26670,23182,22209
他の教養娯楽関係費,382166,369020,363916,353921,368622,361156,346943,356915,357131,347151,339526,331798,333735,341341,338416,332549,330817,326776,327019,338445,249376,258193,294474,318759
読書,52084,50687,53615,51705,52591,51813,48740,48846,48939,47292,46214,45411,44339,43364,42646,40795,40281,39303,37013,36708,35711,35573,33759,33778
聴視・観覧,26380,26184,27416,27973,28858,28462,27835,29717,30483,30879,31250,31066,31519,31574,32207,31881,33501,34519,34939,34696,29303,30546,32873,33037
旅行,125396,116826,112202,107601,115636,111192,107415,109532,109495,97981,98185,94252,95148,101646,100096,100042,95311,92477,92795,99979,35268,35433,63728,81441
スポーツ,31543,30021,27840,26478,27301,28739,27102,27714,29548,28671,25146,27106,27223,28348,27577,28960,28953,27972,28933,32116,25494,26332,28010,30656
月謝,32778,31938,30803,30992,31943,30140,28165,29895,28100,28731,27767,27326,27729,26596,26664,26737,26883,26274,25977,25927,19391,20142,21962,22108
会費・つきあい費,16500,15446,14991,13979,14452,13607,12352,12389,12568,11507,11842,10980,10918,10764,9844,9584,8974,8176,8398,8896,7098,6490,6282,6183
その他の教養娯楽,97485,97918,97050,95194,97841,97203,95333,98821,97999,102089,99123,95656,96859,99048,99382,94548,96913,98055,98963,100122,97111,103678,107860,111556
消費支出(再掲),3374494,3278199,3238022,3197186,3213351,3198092,3097033,3138316,3135668,3044643,3027938,2966673,2971816,3018910,3017778,2965515,2909095,2921476,2956782,2996452,2802811,2821442,2930777,2967861
基礎的支出,1932117,1899106,1891918,1883865,1875420,1848294,1806793,1819546,1824815,1767506,1704355,1699428,1686755,1710259,1717853,1752090,1713699,1715830,1733837,1733372,1701865,1704682,1771571,1776166
選択的支出,1442377,1379092,1346104,1313321,1337931,1349798,1290240,1318770,1310854,1277137,1323583,1267245,1285060,1308651,1299924,1213425,1195396,1205646,1222946,1263080,1100947,1116760,1159206,1191696
